'Testing_Rate','Death_Rate','Total_Dead'
Testing_Rate,Death_Rate,Total_Dead
0.1,0.1,249
0.1,0.2,424
0.1,0.30000000000000004,662
0.1,0.4,845
0.1,0.5,1071
0.1,0.6,1273
0.1,0.7,1520
0.1,0.7999999999999999,1720
0.1,0.8999999999999999,1954
0.1,0.9999999999999999,2146
0.1,1.0999999999999999,2146
0.2,0.1,207
0.2,0.2,367
0.2,0.30000000000000004,660
0.2,0.4,893
0.2,0.5,1097
0.2,0.6,1282
0.2,0.7,1482
0.2,0.7999999999999999,1708
0.2,0.8999999999999999,1911
0.2,0.9999999999999999,2133
0.2,1.0999999999999999,2133
0.30000000000000004,0.1,204
0.30000000000000004,0.2,410
0.30000000000000004,0.30000000000000004,588
0.30000000000000004,0.4,830
0.30000000000000004,0.5,1065
0.30000000000000004,0.6,1246
0.30000000000000004,0.7,1494
0.30000000000000004,0.7999999999999999,1694
0.30000000000000004,0.8999999999999999,1900
0.30000000000000004,0.9999999999999999,2121
0.30000000000000004,1.0999999999999999,2121
0.4,0.1,202
0.4,0.2,404
0.4,0.30000000000000004,629
0.4,0.4,799
0.4,0.5,1048
0.4,0.6,1228
0.4,0.7,1475
0.4,0.7999999999999999,1669
0.4,0.8999999999999999,1887
0.4,0.9999999999999999,2080
0.4,1.0999999999999999,2080
0.5,0.1,209
0.5,0.2,393
0.5,0.30000000000000004,658
0.5,0.4,818
0.5,0.5,1019
0.5,0.6,1201
0.5,0.7,1407
0.5,0.7999999999999999,1608
0.5,0.8999999999999999,1787
0.5,0.9999999999999999,2005
0.5,1.0999999999999999,2005
0.6,0.1,215
0.6,0.2,405
0.6,0.30000000000000004,595
0.6,0.4,791
0.6,0.5,959
0.6,0.6,1140
0.6,0.7,1376
0.6,0.7999999999999999,1549
0.6,0.8999999999999999,1749
0.6,0.9999999999999999,1939
0.6,1.0999999999999999,1939
0.7,0.1,184
0.7,0.2,361
0.7,0.30000000000000004,590
0.7,0.4,704
0.7,0.5,880
0.7,0.6,1105
0.7,0.7,1283
0.7,0.7999999999999999,1484
0.7,0.8999999999999999,1667
0.7,0.9999999999999999,1830
0.7,1.0999999999999999,1830
0.7999999999999999,0.1,143
0.7999999999999999,0.2,324
0.7999999999999999,0.30000000000000004,474
0.7999999999999999,0.4,596
0.7999999999999999,0.5,753
0.7999999999999999,0.6,960
0.7999999999999999,0.7,1082
0.7999999999999999,0.7999999999999999,1289
0.7999999999999999,0.8999999999999999,1429
0.7999999999999999,0.9999999999999999,1588
0.7999999999999999,1.0999999999999999,1588
0.8999999999999999,0.1,111
0.8999999999999999,0.2,208
0.8999999999999999,0.30000000000000004,338
0.8999999999999999,0.4,428
0.8999999999999999,0.5,562
0.8999999999999999,0.6,677
0.8999999999999999,0.7,767
0.8999999999999999,0.7999999999999999,865
0.8999999999999999,0.8999999999999999,976
0.8999999999999999,0.9999999999999999,1099
0.8999999999999999,1.0999999999999999,1099
